U1_final,U1_nom,U2_final,U2_nom,U3_final,U3_nom,U4_final,U4_nom,cbf_slack_0,control_state,des_acc_x,des_acc_y,des_acc_z,des_att_phi_deg,des_att_psi_deg,des_att_theta_deg,des_pos_x,des_pos_y,des_pos_z,des_vel_x,des_vel_y,des_vel_z,err_att_phi_deg,err_att_psi_deg,err_att_theta_deg,err_pos_x,err_pos_y,err_pos_z,err_rate_x_deg_s,err_rate_y_deg_s,err_rate_z_deg_s,err_vel_x,err_vel_y,err_vel_z,omega_sq_1,omega_sq_2,omega_sq_3,omega_sq_4,orient_phi_rad,orient_psi_rad,orient_theta_rad,pos_x,pos_y,pos_z,rate_x_rad_s,rate_y_rad_s,rate_z_rad_s,timestamp,vel_x,vel_y,vel_z,virt_inp_Uex,virt_inp_Uey
nan,15.89114295058666,nan,1.6578592204530724e-07,nan,6.672804390131909e-08,nan,1.906029354009261e-07,nan,TAKEOFF,0.0,0.0,0.0,1.0084364816853575e-06,180.0,3.613797451676887e-07,20.0,0.0,3.0,0.0,0.0,0.0,-2.1387205126429592e-05,-0.00014398803618777568,-7.220858910029605e-06,1.2969223917025374e-08,-3.46114011040823e-08,-2.915802999359257,-5.58807898635717e-05,-1.6705381940987213e-05,4.473100893087661e-05,nan,nan,nan,464730.11606677435,464730.1590843733,464730.8258261493,464730.8428527498,-3.556766103529695e-07,3.141590140524478,-1.1972049639879136e-07,nan,nan,nan,-9.75303771734399e-07,-2.9156391767342795e-07,7.807033835827854e-07,1.024,1.5991638024662284e-07,-4.4711814260422146e-07,0.18300339867169002,nan,nan
nan,15.89114295058666,nan,1.6578592204530724e-07,nan,6.672804390131909e-08,nan,1.906029354009261e-07,nan,TAKEOFF,0.0,0.0,0.0,1.0084364816853575e-06,180.0,3.613797451676887e-07,20.0,0.0,3.0,0.0,0.0,0.0,-2.1387205126429592e-05,-0.00014398803618777568,-7.220858910029605e-06,1.2969223917025374e-08,-3.46114011040823e-08,-2.915802999359257,-5.58807898635717e-05,-1.6705381940987213e-05,4.473100893087661e-05,nan,nan,nan,464730.11606677435,464730.1590843733,464730.8258261493,464730.8428527498,-3.556766103529695e-07,3.141590140524478,-1.1972049639879136e-07,nan,nan,nan,-9.75303771734399e-07,-2.9156391767342795e-07,7.807033835827854e-07,1.024,1.5991638024662284e-07,-4.4711814260422146e-07,0.18300339867169002,nan,nan
15.702322772415027,15.702322772415027,8.495530210871637e-07,8.495530210871637e-07,5.081088368237195e-07,5.081088368237195e-07,4.5307023796014896e-08,4.5307023796014896e-08,nan,TAKEOFF,0.0,0.0,0.0,1.0886946786386449e-05,180.0,4.15615958112699e-06,20.0,0.0,3.0,0.0,0.0,0.0,-0.00010936655794683725,-0.00011822296750207354,-4.5494139200348576e-05,3.391335212654667e-07,-9.36439569704344e-07,-2.769571841586621,-0.0002864704136213541,-0.00013195017962319775,5.263098365669034e-05,1.711852551644137e-06,-4.457702416040095e-06,0.4172765588930646,459208.1995357206,459208.65687353315,459208.5938899428,459208.5937660198,-1.7187934608336201e-06,3.1415905902097587,-7.214838504777286e-07,20.00000033913352,-9.36439569704344e-07,0.2304281584133793,-4.999851927242642e-06,-2.3029650830227317e-06,9.185839533725713e-07,1.504,1.711852551644137e-06,-4.457702416040095e-06,0.4172765588930646,-7.253866892897294e-08,1.9001306691185815e-07
15.508850946362582,15.508850946362582,4.7596710177557276e-07,4.7596710177557276e-07,3.2228499605455645e-07,3.2228499605455645e-07,6.328649904867293e-09,6.328649904867293e-09,nan,TAKEOFF,0.0,0.0,0.0,4.412138192095091e-05,180.0,1.8616699418592916e-05,20.0,0.0,3.0,0.0,0.0,0.0,-0.00021951736020596536,-9.308651074261387e-05,-9.805341643409896e-05,2.4166214238618977e-06,-5.97216663496274e-06,-2.5133421458644136,-8.137468227790782e-05,-4.909522173291175e-05,4.563803492148219e-05,7.069487774171055e-06,-1.6619972114101064e-05,0.598803269767079,453550.3505854735,453550.62705186283,453550.50518514746,453550.51872193447,-3.061237315829979e-06,3.1415910289236915,-1.386432258895584e-06,20.000002416621424,-5.97216663496274e-06,0.48665785413558643,-1.4202561335137708e-06,-8.568732662359861e-07,7.96533973520016e-07,2.001,7.069487774171055e-06,-1.6619972114101064e-05,0.598803269767079,-3.249227007084583e-07,7.700633850504177e-07
15.327804906299676,15.327804906299676,1.1568481964929374e-07,1.1568481964929374e-07,1.7645686825476668e-07,1.7645686825476668e-07,-9.122826377257532e-09,-9.122826377257532e-09,nan,TAKEOFF,0.0,0.0,0.0,8.931494427828048e-05,180.0,3.973365365476482e-05,20.0,0.0,3.0,0.0,0.0,0.0,-0.00024318345138157869,-7.191432011090186e-05,-0.00011903016188655424,7.579711169825032e-06,-1.773568714085904e-05,-2.182764090635345,7.513635896432096e-05,5.791520229760036e-06,3.726204942048198e-05,1.3547114453141455e-05,-3.0068027212463024e-05,0.7187287394665619,448255.8372584814,448255.95045809384,448255.83771789784,448255.88330027304,-2.6855120640808367e-06,3.141591398448128,-1.3839851539795123e-06,20.00000757971117,-1.773568714085904e-05,0.8172359093646548,1.3113768518877575e-06,1.0108109670517111e-07,6.503454484282555e-07,2.5,1.3547114453141455e-05,-3.0068027212463024e-05,0.7187287394665619,-6.934830801218259e-07,1.5588398488906337e-06
15.164561130938596,15.164561130938596,-3.897736000328589e-08,-3.897736000328589e-08,2.055136165447568e-07,2.055136165447568e-07,2.067116023521121e-09,2.067116023521121e-09,nan,TAKEOFF,0.0,0.0,0.0,0.00012927932592639383,180.0,6.388386010032801e-05,20.0,0.0,3.0,0.0,0.0,0.0,-0.0002028405908796324,-5.595981874746701e-05,-0.00014312419397912666,1.5869755070951896e-05,-3.5083937622430675e-05,-1.804382484617351,0.00011707237316485913,8.992000711552333e-06,2.7684238654589415e-05,1.9452032115520803e-05,-3.7731427428724754e-05,0.7826918150202158,443481.8301001008,443481.91134841123,443481.82644078817,443481.9301207315,-1.2838862753659258e-06,3.141591676906707,-1.3830047265646456e-06,20.00001586975507,-3.5083937622430675e-05,1.195617515382649,2.043298374850246e-06,1.569400187582611e-07,4.831811154304705e-07,3.001,1.9452032115520803e-05,-3.7731427428724754e-05,0.7826918150202158,-1.1149836976310893e-06,2.256349892172526e-06
15.02574659856575,15.02574659856575,-4.330792055528697e-08,-4.330792055528697e-08,1.380869199935459e-07,1.380869199935459e-07,1.0203984544380114e-08,1.0203984544380114e-08,nan,TAKEOFF,0.0,0.0,0.0,0.00015718468084890822,180.0,8.9094831937674e-05,20.0,0.0,3.0,0.0,0.0,0.0,-0.0001780986871223129,-4.503336526520508e-05,-0.00015590359296942848,2.6804071286079534e-05,-5.433868728547427e-05,-1.40921461259382,0.00010644044077829997,3.5910241767924115e-05,2.1057151194628576e-05,2.419944141057001e-05,-3.881619896658807e-05,0.7967070393357075,439422.25302935793,439422.3013186574,439422.2764924267,439422.35245850944,-3.650182692536604e-07,3.141591867609296,-1.1660328491821995e-06,20.000026804071286,-5.433868728547427e-05,1.59078538740618,1.8577361488553701e-06,6.267519540374653e-07,3.6751661943652596e-07,3.5,2.419944141057001e-05,-3.881619896658807e-05,0.7967070393357075,-1.554998163816932e-06,2.743390214506483e-06
14.911781624538108,14.911781624538108,-2.4053616354457343e-07,-2.4053616354457343e-07,5.133584651508247e-08,5.133584651508247e-08,-2.098695162215691e-09,-2.098695162215691e-09,nan,TAKEOFF,0.0,0.0,0.0,0.00017316613083869534,180.0,0.00011303948868406335,20.0,0.0,3.0,0.0,0.0,0.0,-0.00011890991760226008,-3.528467110515577e-05,-0.00015672235544816714,3.976296502372634e-05,-7.307631042111019e-05,-1.0154318310535073,0.0001559689433913144,6.228408472026503e-05,1.7922800729786522e-05,2.7165034602383504e-05,-3.492464008450576e-05,0.7690735693931972,436106.9094991795,436106.8666584459,436106.83573247824,436106.92608962604,9.551114721613154e-07,3.141592038694296,-7.591338796853104e-07,20.00003984448243,-7.318099938239314e-05,1.986874841708301,2.71981130064725e-06,1.094400557197032e-06,3.1268710301825494e-07,4.001,2.717617481299811e-05,-3.4882135981163527e-05,0.7687994628487486,-1.9729112622974866e-06,3.0223191360699224e-06
14.82630437377884,14.82630437377884,-2.5074490201569094e-07,-2.5074490201569094e-07,-4.694966377691697e-08,-4.694966377691697e-08,-9.598145562542707e-09,-9.598145562542707e-09,nan,TAKEOFF,0.0,0.0,0.0,0.000171323777327913,180.0,0.00013224818283183202,20.0,0.0,3.0,0.0,0.0,0.0,-5.025682112032443e-05,-2.7122889029985292e-05,-0.0001399001317425438,5.354582660288543e-05,-8.831138610636562e-05,-0.6455922120716662,0.00012581964799618579,8.424421285650949e-05,1.4934326371742792e-05,2.7555441223510263e-05,-2.5289375426388133e-05,0.7083391724359474,433598.2177250276,433598.1285037722,433598.11445822346,433598.161750463,2.113017001190208e-06,3.141592180206077,-1.3355170268631467e-07,20.000053600939975,-8.836198895537044e-05,2.355824614523705,2.2007201121289557e-06,1.4693962587397463e-06,2.6086148700645176e-07,4.5,2.7555441223510263e-05,-2.5289375426388133e-05,0.7083391724359474,-2.3081662201825386e-06,2.9901640013212393e-06
14.767033920035422,14.767033920035422,-1.4972483097546812e-07,-1.4972483097546812e-07,-6.587415423049111e-08,-6.587415423049111e-08,-4.323583240370883e-09,-4.323583240370883e-09,nan,TAKEOFF,0.0,0.0,0.0,0.00015184158622096738,180.0,0.00014278227551158887,20.0,0.0,3.0,0.0,0.0,0.0,1.3997190438129264e-05,-2.0693311866430395e-05,-0.00010986988147519933,6.677624349649136e-05,-9.767211692973195e-05,-0.31041808785590064,5.312617101734976e-05,7.499079055368599e-05,1.0965084282487759e-05,2.460599273599436e-05,-1.1504740035405408e-05,0.6235567483688631,431856.38425010984,431856.313663425,431856.3274961502,431856.33880699443,2.8944326801807583e-06,3.141592292423368,5.744296406487439e-07,20.000066776243496,-9.767211692973195e-05,2.6895819121440994,9.272266032303389e-07,1.308836203835282e-06,1.9137682348809138e-07,5.001,2.460599273599436e-05,-1.1504740035405408e-05,0.6235567483688631,-2.492020821155566e-06,2.650135621003633e-06
